match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
2872297	1.0	4.0	4.0	4.0	11.0	9.0	5.0	7.0	5.0	2.0	4.0	14.0	10.0	1.0	1.0	0.0	2.0	0.0
2872302	2.0	3.0	4.0	6.0	12.0	12.0	1.0	5.0	2.0	1.0	3.0	13.0	11.0	1.0	2.0	0.0	3.0	0.0
2872303	5.0	4.0	1.0	6.0	12.0	14.0	2.0	4.0	5.0	2.0	3.0	16.0	12.0	0.0	1.0	0.0	1.0	0.0
2872305	11.0	10.0	2.0	7.0	15.0	10.0	1.0	5.0	3.0	8.0	4.0	10.0	13.0	2.0	3.0	0.0	4.0	0.0
2872312	6.0	7.0	4.0	3.0	14.0	8.0	1.0	6.0	7.0	1.0	8.0	9.0	13.0	1.0	0.0	0.0	2.0	0.0
2872306	8.0	10.0	1.0	13.0	11.0	8.0	2.0	1.0	3.0	6.0	1.0	10.0	9.0	2.0	0.0	0.0	1.0	0.0
2872298	3.0	3.0	4.0	4.0	14.0	19.0	0.0	6.0	8.0	1.0	6.0	19.0	8.0	6.0	3.0	0.0	2.0	0.0
2872308	8.0	8.0	5.0	8.0	11.0	12.0	2.0	6.0	4.0	7.0	5.0	14.0	9.0	2.0	2.0	0.0	4.0	0.0
2872310	7.0	5.0	0.0	12.0	15.0	9.0	0.0	2.0	1.0	5.0	2.0	9.0	14.0	1.0	3.0	0.0	7.0	0.0
2872309	9.0	7.0	4.0	4.0	7.0	6.0	3.0	4.0	2.0	4.0	2.0	9.0	7.0	0.0	0.0	0.0	1.0	0.0
2872314	2.0	10.0	1.0	10.0	14.0	14.0	1.0	1.0	2.0	2.0	2.0	15.0	13.0	1.0	2.0	0.0	0.0	0.0
