match_id	home_total_shots	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_cards	away_cards
3050502	5	1	6	14	8	2	1	4	3	10	13	1	1	2
3050497	6	2	9	11	8	3	2	5	6	11	9	2	1	4
3050517	4	4	2	14	6	3	5	4	3	9	10	4	2	3
3050514	9	2	8	10	6	3	2	7	4	9	10	0	2	4
3050520	6	1	4	10	13	0	2	3	9	13	8	2	1	3
3050513	1	2	4	6	10	1	7	1	1	11	6	0	4	4
3050516	5	1	7	11	8	1	1	3	3	9	10	1	2	1
3050521	5	1	4	13	10	1	1	1	2	11	13	0	2	2
3050515	3	3	2	13	4	1	6	2	9	5	11	2	0	0
3050522	3	4	6	12	12	2	5	2	4	14	8	4	4	0
3050519	4	3	3	6	14	3	4	2	11	17	3	3	1	1
3050518	7	3	9	11	4	2	3	5	2	6	9	2	0	1
3050529	4	4	4	12	10	2	4	3	4	12	10	2	1	2
3050531	3	3	6	11	8	1	5	1	8	9	9	2	2	0
3050532	5	1	14	10	0	0	1	4	1	0	9	1	0	1
3050524	5	4	3	18	10	1	6	5	7	11	18	0	1	3
3050528	3	4	2	12	16	1	6	2	2	17	10	2	2	2
3050530	6	2	4	12	6	0	3	2	11	6	10	2	0	2
3050526	9	1	10	7	9	1	2	6	1	10	5	2	2	1
3050527	8	1	10	8	10	1	1	4	2	11	7	1	1	1
3050523	5	4	8	15	16	1	8	3	3	17	13	2	4	1
3050525	3	4	5	7	5	4	6	2	10	9	5	2	1	1
3050538	7	1	4	18	5	2	1	2	4	7	14	4	0	0
3050542	1	1	4	16	10	3	4	1	5	13	11	5	3	2
3050541	5	8	2	10	3	5	9	5	7	8	7	3	0	2
3050536	2	8	10	11	10	1	8	1	3	11	8	3	0	0
3050535	1	3	5	16	11	4	3	1	10	15	16	0	2	0
3050533	3	0	7	10	7	3	1	2	4	10	10	0	2	3
3050540	8	2	9	9	7	0	5	4	3	7	9	0	2	1
3050537	13	1	8	16	13	2	1	10	6	15	13	3	3	2
3050539	4	2	6	19	9	5	3	3	6	14	14	5	3	2
3050534	0	5	0	11	5	2	7	0	6	7	8	3	1	1
3050555	6	1	8	11	8	1	1	5	1	9	9	2	0	2
3050559	6	1	2	13	2	3	1	3	7	5	12	1	1	1
3050552	6	5	10	15	11	1	5	5	6	12	12	3	1	9
3050553	8	4	10	12	13	1	7	6	5	14	10	2	0	0
3050560	6	2	7	14	8	1	2	5	1	9	14	0	1	3
3050558	7	1	2	5	10	4	4	4	3	14	3	2	1	1
3050554	10	3	6	15	6	1	3	7	6	7	12	3	0	1
3050551	8	4	16	15	8	2	5	7	3	10	11	4	5	2
3050557	5	2	11	5	11	2	2	4	0	13	5	0	3	2
3050556	3	6	3	11	10	2	7	2	7	12	10	1	1	1
3050562	4	3	4	3	11	4	6	3	5	15	3	0	5	1
3050561	2	6	2	9	12	1	10	1	6	13	8	1	0	0
3050565	4	3	4	8	8	1	3	4	5	9	6	2	0	1
3050567	10	2	11	6	9	3	4	9	2	12	6	0	3	3
3050564	2	2	5	7	5	1	6	2	5	6	6	1	1	0
3050563	8	5	4	9	12	4	8	4	4	16	8	1	3	0
3050566	5	2	4	12	3	3	2	3	1	6	11	1	0	2
3050570	8	3	7	11	8	4	7	7	2	12	10	1	3	0
3050568	3	2	4	8	9	1	3	2	3	10	6	2	0	1
2460300	5	1	4	21	13	1	3	5	0	14	20	1	2	4
3050569	3	7	7	14	10	2	9	1	4	12	13	1	0	2
2460298	2	2	3	10	16	0	3	0	6	16	10	0	1	1
2460302	3	1	8	1	0	0	0	3	9	0	0	1	1	2
2460304	2	0	6	2	0	0	0	2	3	0	0	2	3	1
2460303	3	0	2	10	13	1	1	3	8	14	9	1	0	3
2460299	3	3	2	15	8	2	4	1	6	10	14	1	1	2
2460305	3	5	8	9	13	0	6	3	5	13	9	0	2	2
2460296	4	1	9	20	13	0	2	4	3	13	19	1	2	3
2460301	0	0	3	10	7	0	2	0	3	7	10	0	1	5
2460297	2	1	4	8	6	3	4	1	3	9	7	1	1	1
2478479	1	3	7	8	12	3	3	1	7	15	8	0	4	1
2478480	11	4	8	12	11	2	4	8	7	13	10	2	0	1
2478481	3	7	6	14	14	1	10	4	9	15	11	3	1	3
2478482	3	9	1	14	14	0	5	8	5	14	14	0	1	2
2478483	4	0	2	17	14	3	0	3	3	17	16	1	2	1
2478485	2	5	4	12	10	0	5	2	5	10	10	2	3	3
2478488	4	4	6	8	13	1	3	1	7	14	7	1	1	1
2486492	4	4	11	21	12	0	6	1	4	12	19	2	1	3
2478486	7	1	7	10	11	1	1	3	6	12	9	1	0	1
2478484	2	1	3	19	9	2	3	0	3	11	19	0	1	4
2486489	4	1	3	15	7	2	1	3	6	9	13	2	2	2
2478487	3	4	4	16	10	1	6	2	4	11	15	1	0	2
2486491	2	1	11	7	14	1	2	2	4	15	5	2	2	1
2486493	3	0	4	10	9	0	5	2	6	9	10	0	1	2
2486494	8	2	0	9	10	2	2	5	7	12	9	0	1	2
2486495	1	5	2	14	12	1	8	0	9	13	12	2	2	1
2486496	7	3	8	17	7	8	8	3	2	15	16	1	1	3
2486497	1	4	7	12	13	3	7	1	3	16	11	1	0	4
2486499	6	6	0	18	12	2	8	3	3	14	16	2	3	4
2486498	2	1	5	8	12	1	2	1	10	13	6	2	3	1
2486490	4	2	3	12	9	1	3	2	7	10	10	2	1	4
2486502	7	4	5	7	14	3	4	3	5	17	7	0	0	2
2486500	11	2	7	9	8	0	2	13	4	8	9	0	0	3
2486501	3	3	5	10	14	0	3	2	6	14	9	1	2	3
2486503	6	0	16	16	9	0	1	6	3	9	16	0	3	0
2486504	1	0	6	15	12	0	6	0	5	12	14	1	5	1
2486505	0	0	9	0	0	0	3	2	1	0	0	0	2	3
2486506	3	0	7	11	9	3	1	2	6	12	10	1	2	1
2486507	9	0	3	9	11	0	0	5	1	11	8	1	1	0
2486508	6	2	3	7	10	1	3	4	10	11	7	0	3	1
2486511	6	5	5	16	14	2	5	6	1	16	15	1	1	2
2486512	7	1	4	17	11	1	3	5	2	12	12	5	4	2
2486510	2	3	5	11	10	1	3	3	5	11	9	2	1	3
2486513	2	5	2	17	11	0	6	1	4	11	16	1	1	4
2486509	4	3	10	16	6	0	5	2	1	6	15	1	2	4
2486515	8	5	7	10	16	1	6	6	5	17	10	0	4	1
2486514	1	3	9	11	12	0	4	1	7	12	9	2	2	2
2486519	9	5	8	11	8	2	6	7	2	10	9	2	2	1
2486516	5	3	2	11	12	3	7	0	4	15	7	4	1	3
2486517	6	0	7	12	7	2	3	4	1	9	11	1	2	2
2486521	7	1	6	9	13	1	1	5	6	14	9	0	0	2
2486520	7	1	9	8	11	4	1	4	2	15	8	0	2	2
2486518	4	1	14	15	17	1	3	3	2	18	14	1	4	4
2486523	3	3	7	16	10	2	4	1	10	12	12	4	3	3
2486522	5	3	3	6	10	0	6	4	8	10	6	0	0	2
2486524	7	0	6	11	14	4	1	1	3	18	10	1	2	1
2486525	4	1	10	17	12	2	1	7	1	14	15	2	2	2
2486526	7	4	15	17	8	2	4	7	5	10	15	2	3	6
2486527	7	2	10	12	7	2	2	3	2	9	10	2	1	2
2486528	4	1	2	15	20	5	2	2	10	25	15	0	1	2
2486531	6	3	5	17	11	3	4	4	5	14	15	2	2	2
2486529	2	1	6	11	7	0	1	0	7	7	11	0	1	2
2486530	7	2	9	13	17	0	4	5	3	17	12	1	2	2
2486532	4	4	7	19	11	3	5	1	4	14	19	0	3	4
2486533	6	1	3	18	10	3	3	5	1	13	15	3	1	3
2486535	2	5	0	9	4	1	8	2	7	5	6	3	0	1
2486536	5	4	11	13	18	1	5	4	6	19	10	3	4	3
2486534	4	2	10	9	8	4	2	3	5	12	8	1	2	1
2486537	3	1	2	7	10	1	1	1	2	11	7	0	4	3
2486538	3	3	7	13	10	4	3	2	5	14	11	2	2	2
2486540	8	2	10	13	8	0	4	6	0	8	13	0	2	2
2486539	11	6	3	8	10	3	6	8	4	13	6	2	1	4
2486541	5	3	5	12	3	2	7	2	7	5	11	1	0	1
2486542	4	2	3	7	13	1	4	3	2	14	7	0	2	3
2486543	5	1	3	17	13	1	3	1	4	14	17	0	2	2
2486545	10	3	5	8	11	2	2	4	6	13	8	0	1	3
2486544	6	2	10	16	13	2	2	5	7	15	15	1	0	3
2486546	8	4	7	17	10	1	5	5	2	11	15	2	2	3
2486548	2	5	0	9	6	0	8	0	11	6	8	1	1	2
2486549	5	2	6	11	14	1	4	0	3	15	8	3	3	1
2486547	3	5	3	6	16	0	6	1	5	16	6	0	4	1
2486554	4	4	4	17	14	2	7	3	8	16	15	2	2	1
2486550	4	3	14	18	11	1	3	4	1	12	17	1	3	2
2486552	2	3	3	10	10	1	5	2	3	11	10	0	3	3
2486551	3	1	6	15	10	1	1	1	3	11	12	3	0	2
2486555	4	4	2	11	7	1	4	1	2	8	10	1	0	0
2486556	3	6	5	9	12	2	7	3	4	14	7	2	4	2
2486553	3	0	10	14	9	1	2	2	2	10	13	1	2	3
2486560	10	2	18	13	7	0	2	7	1	7	13	0	0	1
2486558	5	6	2	20	11	2	6	3	4	13	15	5	0	2
2486557	5	4	4	16	12	0	5	5	7	12	14	2	3	6
2486561	8	1	13	11	8	2	2	6	2	10	11	0	0	0
2486563	1	3	7	10	6	1	2	1	4	7	9	1	1	0
2486559	3	4	7	15	12	0	4	2	2	12	8	7	4	3
2486562	3	0	11	16	10	1	0	3	0	11	16	0	2	4
2486564	3	3	8	17	7	2	4	3	3	9	12	5	0	1
2486565	7	0	9	14	14	0	2	2	2	14	12	2	1	1
2486566	6	2	7	12	16	3	2	5	4	19	9	3	3	2
2486567	2	4	3	12	12	1	7	0	9	13	11	1	5	3
2486568	5	4	11	19	12	0	7	5	2	12	19	0	1	3
2486569	3	5	5	13	9	6	7	2	7	15	12	1	2	5
2486570	5	1	7	20	20	1	1	2	1	21	20	0	6	4
2486571	5	1	11	11	8	0	1	3	4	8	11	0	1	3
2486575	6	4	13	10	9	5	4	8	2	14	9	1	0	3
2486572	3	2	7	10	9	3	4	2	7	12	10	0	4	2
2486573	5	0	13	13	10	6	0	3	4	16	11	2	2	2
2486576	3	6	5	14	11	2	7	1	4	13	13	1	1	2
2486574	4	1	5	16	20	1	4	3	5	21	14	2	5	2
2486577	2	1	7	9	12	1	4	2	4	13	8	1	0	0
2486578	4	3	6	17	11	5	4	2	10	16	17	0	5	5
2486579	9	1	15	11	7	4	1	7	0	11	9	2	1	2
2486582	10	2	7	10	13	0	3	8	3	13	9	1	2	1
2486581	2	3	6	15	16	0	4	2	9	16	11	4	2	3
2486580	4	2	1	14	9	4	3	2	5	13	13	1	2	3
2486585	9	1	11	11	12	0	2	9	5	12	8	3	2	1
2486583	6	4	16	18	12	3	4	8	7	15	15	3	2	3
2486584	5	2	14	9	10	2	4	4	0	12	9	0	2	2
2486587	3	5	3	10	17	1	8	2	9	18	9	1	5	1
2486586	6	0	4	12	21	2	1	2	3	23	10	2	1	2
2486588	2	5	2	20	15	1	6	1	8	16	17	3	1	2
2486589	2	4	4	11	9	3	5	1	4	12	11	0	2	1
2486590	4	7	1	9	8	1	8	3	5	9	8	1	3	3
